* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, none, deep_aether:aerglow_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
2, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:baby_skeleton, 18, 1, 2
3, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:baby_spider, 15, 3, 5
4, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
5, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:bigsucker, 0, 1, 3
6, none, deep_aether:aerglow_forest, MONSTER, quark:stoneling, 60, 1, 1
7, none, deep_aether:aerglow_forest, MONSTER, quark:toretoise, 65, 2, 4
8, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
9, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:bomber, 7, 1, 2
10, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
11, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:corpse_fly, 0, 1, 3
12, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:dark_vortex, 20, 1, 1
13, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 2
14, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton, 30, 1, 2
15, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
16, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:door_knight, 25, 1, 1
17, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:dread_hound, 17, 3, 5
18, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 15, 1, 2
19, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:invisiblebidy, 4, 1, 4
20, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:invisiimmortal, 0, 0, 0
21, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:lifestealer, 5, 1, 1
22, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:missioner, 5, 1, 1
23, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:mother_spider, 8, 1, 1
24, none, deep_aether:aerglow_forest, MONSTER, mowziesmobs:grottol, 2, 1, 1
25, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
26, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:neocrorines, 0, 1, 3
27, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:nightmare_stalker, 0, 1, 1
28, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:phantom_creeper, 20, 1, 1
29, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:restless_spirit, 25, 1, 1
